,composition,elements,label,for_test
mp-1097220,"{'Sc': 2.0, 'Zn': 1.0, 'Hg': 1.0}","('Hg', 'Sc', 'Zn')",OTHERS,False
mp-1096426,"{'Cs': 1.0, 'Na': 2.0, 'Bi': 1.0}","('Bi', 'Cs', 'Na')",OTHERS,False
mp-19725,"{'Fe': 6.0, 'Ge': 6.0, 'Hf': 1.0}","('Fe', 'Ge', 'Hf')",OTHERS,False
mvc-9863,"{'La': 2.0, 'Ti': 2.0, 'Zn': 2.0, 'Cr': 2.0, 'O': 12.0}","('Cr', 'La', 'O', 'Ti', 'Zn')",OTHERS,False
mp-1112161,"{'Cs': 2.0, 'Rb': 1.0, 'Bi': 1.0, 'I': 6.0}","('Bi', 'Cs', 'I', 'Rb')",OTHERS,False
mp-1245490,"{'Ba': 8.0, 'V': 2.0, 'N': 8.0}","('Ba', 'N', 'V')",OTHERS,False
mp-559407,"{'Na': 3.0, 'Gd': 3.0, 'H': 6.0, 'S': 6.0, 'O': 27.0}","('Gd', 'H', 'Na', 'O', 'S')",OTHERS,False
mp-1207970,"{'Tm': 10.0, 'Bi': 2.0, 'Pt': 4.0}","('Bi', 'Pt', 'Tm')",OTHERS,False
mp-1246472,"{'Mg': 2.0, 'In': 1.0, 'Mo': 3.0, 'S': 8.0}","('In', 'Mg', 'Mo', 'S')",OTHERS,False
mp-571474,"{'Sm': 8.0, 'Sn': 6.0}","('Sm', 'Sn')",OTHERS,False
mp-1016058,"{'Cr': 4.0, 'N': 8.0}","('Cr', 'N')",OTHERS,False
mp-772720,"{'Cr': 12.0, 'Co': 8.0, 'O': 48.0}","('Co', 'Cr', 'O')",OTHERS,False
mp-1039782,"{'Na': 1.0, 'Mg': 30.0, 'W': 1.0, 'O': 32.0}","('Mg', 'Na', 'O', 'W')",OTHERS,False
mp-1198768,"{'Ca': 4.0, 'Si': 4.0, 'B': 4.0, 'O': 20.0}","('B', 'Ca', 'O', 'Si')",OTHERS,False
mp-675857,"{'Cd': 4.0, 'Sn': 2.0, 'O': 8.0}","('Cd', 'O', 'Sn')",OTHERS,False
mvc-16729,"{'Y': 2.0, 'Mn': 4.0, 'S': 8.0}","('Mn', 'S', 'Y')",OTHERS,False
mp-5808,"{'Rb': 1.0, 'Te': 2.0, 'Nd': 1.0}","('Nd', 'Rb', 'Te')",OTHERS,False
mp-677726,"{'Al': 12.0, 'Si': 12.0, 'Ag': 16.0, 'S': 5.0, 'O': 48.0}","('Ag', 'Al', 'O', 'S', 'Si')",OTHERS,False
mp-1093949,"{'Ba': 2.0, 'Tl': 1.0, 'Ag': 1.0}","('Ag', 'Ba', 'Tl')",OTHERS,False
mp-21604,"{'S': 24.0, 'In': 4.0, 'Sm': 12.0}","('In', 'S', 'Sm')",OTHERS,False
mp-1225810,"{'Cu': 2.0, 'Si': 1.0, 'Te': 3.0}","('Cu', 'Si', 'Te')",OTHERS,False
mp-540651,"{'Ba': 8.0, 'Mn': 8.0, 'Sn': 8.0, 'S': 32.0}","('Ba', 'Mn', 'S', 'Sn')",OTHERS,False
mp-1194912,"{'Y': 4.0, 'V': 4.0, 'Te': 8.0, 'O': 32.0}","('O', 'Te', 'V', 'Y')",OTHERS,False
mp-1176954,"{'Li': 6.0, 'Nb': 1.0, 'Ni': 3.0, 'P': 6.0, 'O': 24.0}","('Li', 'Nb', 'Ni', 'O', 'P')",OTHERS,False
mp-1183146,"{'B': 1.0, 'Au': 3.0}","('Au', 'B')",OTHERS,False
mp-16521,"{'Al': 3.0, 'Os': 2.0}","('Al', 'Os')",OTHERS,False
mp-690550,"{'Co': 14.0, 'Ru': 4.0, 'O': 24.0}","('Co', 'O', 'Ru')",OTHERS,False
mp-9201,"{'K': 4.0, 'Ge': 2.0, 'Au': 7.0}","('Au', 'Ge', 'K')",OTHERS,False
mp-1201395,"{'Tb': 16.0, 'Te': 12.0, 'N': 8.0}","('N', 'Tb', 'Te')",OTHERS,False
mp-645338,"{'Sm': 16.0, 'B': 48.0, 'O': 96.0}","('B', 'O', 'Sm')",OTHERS,False
mp-1205720,"{'Ho': 2.0, 'Mn': 4.0, 'Si': 2.0, 'C': 2.0}","('C', 'Ho', 'Mn', 'Si')",OTHERS,False
mp-29507,"{'O': 26.0, 'V': 6.0, 'Cu': 11.0}","('Cu', 'O', 'V')",OTHERS,False
mp-1199783,"{'Re': 12.0, 'H': 12.0, 'C': 48.0, 'O': 48.0}","('C', 'H', 'O', 'Re')",OTHERS,False
mp-1176347,"{'Na': 10.0, 'Fe': 4.0, 'P': 4.0, 'C': 4.0, 'O': 28.0}","('C', 'Fe', 'Na', 'O', 'P')",OTHERS,False
mp-1183114,"{'Ac': 2.0, 'Cu': 6.0}","('Ac', 'Cu')",OTHERS,False
mp-531201,"{'Cd': 10.0, 'Ho': 20.0, 'Se': 40.0}","('Cd', 'Ho', 'Se')",OTHERS,False
mp-766427,"{'K': 4.0, 'Na': 2.0, 'Zn': 4.0, 'H': 10.0, 'C': 8.0, 'O': 28.0}","('C', 'H', 'K', 'Na', 'O', 'Zn')",OTHERS,False
mp-1093703,"{'Zr': 2.0, 'Zn': 1.0, 'Cd': 1.0}","('Cd', 'Zn', 'Zr')",OTHERS,False
mp-1216881,"{'U': 1.0, 'Al': 9.0, 'Fe': 3.0}","('Al', 'Fe', 'U')",OTHERS,False
mp-865403,"{'Tm': 4.0, 'Mg': 2.0, 'Ge': 4.0}","('Ge', 'Mg', 'Tm')",OTHERS,False
mp-28601,"{'Br': 40.0, 'Nb': 8.0}","('Br', 'Nb')",OTHERS,False
mp-1209795,"{'Pr': 4.0, 'Al': 18.0, 'Ir': 6.0}","('Al', 'Ir', 'Pr')",OTHERS,False
mp-571165,"{'Dy': 8.0, 'Fe': 56.0, 'C': 4.0}","('C', 'Dy', 'Fe')",OTHERS,False
mp-8689,"{'V': 4.0, 'Ge': 1.0, 'Se': 8.0}","('Ge', 'Se', 'V')",OTHERS,False
mp-772938,"{'Li': 4.0, 'Ta': 8.0, 'O': 22.0}","('Li', 'O', 'Ta')",OTHERS,False
mp-862621,"{'Ga': 2.0, 'Pt': 6.0}","('Ga', 'Pt')",OTHERS,False
mp-754167,"{'Mn': 5.0, 'O': 1.0, 'F': 11.0}","('F', 'Mn', 'O')",OTHERS,False
mp-1217987,"{'Ta': 3.0, 'Co': 2.0, 'Mo': 1.0}","('Co', 'Mo', 'Ta')",OTHERS,False
mp-505750,"{'Rb': 8.0, 'Sn': 16.0, 'Se': 32.0}","('Rb', 'Se', 'Sn')",OTHERS,False
mp-1020647,"{'Sr': 8.0, 'Li': 4.0, 'Be': 4.0, 'B': 12.0, 'O': 32.0}","('B', 'Be', 'Li', 'O', 'Sr')",OTHERS,False
mp-1238141,"{'V': 4.0, 'Ni': 2.0, 'H': 16.0, 'O': 20.0}","('H', 'Ni', 'O', 'V')",OTHERS,False
mp-1203000,"{'Nd': 4.0, 'H': 44.0, 'S': 12.0, 'O': 64.0}","('H', 'Nd', 'O', 'S')",OTHERS,False
mp-867847,"{'La': 2.0, 'Zn': 1.0, 'Ru': 1.0}","('La', 'Ru', 'Zn')",OTHERS,False
mp-1196071,"{'Ba': 28.0, 'Fe': 28.0, 'O': 70.0}","('Ba', 'Fe', 'O')",OTHERS,False
mp-30747,"{'Zn': 22.0, 'Ir': 4.0}","('Ir', 'Zn')",OTHERS,False
mp-1190441,"{'Li': 4.0, 'Sb': 4.0, 'F': 16.0}","('F', 'Li', 'Sb')",OTHERS,False
mp-1275,"{'Si': 2.0, 'Mo': 6.0}","('Mo', 'Si')",OTHERS,False
mp-676556,"{'Sm': 2.0, 'Zr': 8.0, 'O': 19.0}","('O', 'Sm', 'Zr')",OTHERS,False
mp-20441,"{'Mn': 2.0, 'Co': 2.0, 'C': 1.0}","('C', 'Co', 'Mn')",OTHERS,False
mp-1187045,"{'Sn': 3.0, 'Mo': 1.0}","('Mo', 'Sn')",OTHERS,False
mp-22401,"{'Si': 20.0, 'Nd': 8.0, 'Re': 12.0}","('Nd', 'Re', 'Si')",OTHERS,False
mp-559537,"{'Ca': 8.0, 'P': 12.0, 'O': 38.0}","('Ca', 'O', 'P')",OTHERS,False
mp-1228000,"{'Ca': 2.0, 'Mn': 7.0, 'Si': 10.0, 'H': 12.0, 'O': 35.0}","('Ca', 'H', 'Mn', 'O', 'Si')",OTHERS,False
mp-1207109,"{'Sm': 1.0, 'Hg': 2.0}","('Hg', 'Sm')",OTHERS,False
mp-13498,"{'Mg': 1.0, 'Tb': 2.0}","('Mg', 'Tb')",OTHERS,False
mp-768358,"{'Sc': 2.0, 'In': 2.0, 'O': 6.0}","('In', 'O', 'Sc')",OTHERS,False
mp-753061,"{'Ti': 1.0, 'Co': 3.0, 'O': 8.0}","('Co', 'O', 'Ti')",OTHERS,False
mp-1184981,"{'Li': 2.0, 'Nd': 1.0, 'Pb': 1.0}","('Li', 'Nd', 'Pb')",OTHERS,False
mvc-11754,"{'V': 4.0, 'S': 10.0}","('S', 'V')",OTHERS,False
mp-1096757,"{'Nb': 1.0, 'Cr': 2.0, 'Re': 1.0}","('Cr', 'Nb', 'Re')",OTHERS,False
mp-772337,"{'Cr': 12.0, 'Cu': 8.0, 'O': 48.0}","('Cr', 'Cu', 'O')",OTHERS,False
mp-1218557,"{'Sr': 6.0, 'Co': 2.0, 'Sb': 4.0, 'O': 18.0}","('Co', 'O', 'Sb', 'Sr')",OTHERS,False
mp-1247120,"{'Cd': 22.0, 'C': 4.0, 'N': 20.0}","('C', 'Cd', 'N')",OTHERS,False
mp-868632,"{'Mn': 2.0, 'O': 2.0, 'F': 2.0}","('F', 'Mn', 'O')",OTHERS,False
mp-1187278,"{'Tb': 3.0, 'Dy': 1.0}","('Dy', 'Tb')",OTHERS,False
mp-772269,"{'Mn': 6.0, 'P': 6.0, 'O': 24.0}","('Mn', 'O', 'P')",OTHERS,False
mp-1073410,"{'Mg': 4.0, 'Si': 8.0}","('Mg', 'Si')",OTHERS,False
mp-19858,{'Sr': 6.0},"('Sr',)",OTHERS,False
mp-1211266,"{'Li': 16.0, 'Mo': 12.0, 'O': 48.0}","('Li', 'Mo', 'O')",OTHERS,False
mp-554598,"{'B': 4.0, 'H': 20.0, 'C': 4.0, 'N': 2.0, 'Cl': 2.0, 'O': 6.0}","('B', 'C', 'Cl', 'H', 'N', 'O')",OTHERS,False
mp-1095988,"{'Sr': 2.0, 'Ag': 1.0, 'Hg': 1.0}","('Ag', 'Hg', 'Sr')",OTHERS,False
mp-1064647,"{'K': 2.0, 'N': 2.0}","('K', 'N')",OTHERS,False
mp-1184199,"{'Eu': 2.0, 'Ag': 1.0, 'Pb': 1.0}","('Ag', 'Eu', 'Pb')",OTHERS,False
mp-1213927,"{'Ce': 12.0, 'P': 4.0, 'Br': 12.0}","('Br', 'Ce', 'P')",OTHERS,False
mp-1174745,"{'Li': 8.0, 'Mn': 2.0, 'Co': 4.0, 'O': 14.0}","('Co', 'Li', 'Mn', 'O')",OTHERS,False
mp-1210027,"{'Rb': 36.0, 'Co': 8.0, 'S': 28.0}","('Co', 'Rb', 'S')",OTHERS,False
mp-757597,"{'Li': 4.0, 'Sn': 4.0, 'P': 16.0, 'O': 48.0}","('Li', 'O', 'P', 'Sn')",OTHERS,False
mp-1197135,"{'La': 2.0, 'N': 6.0, 'O': 26.0}","('La', 'N', 'O')",OTHERS,False
mp-759865,"{'Li': 3.0, 'V': 3.0, 'Cr': 3.0, 'P': 6.0, 'H': 6.0, 'O': 30.0}","('Cr', 'H', 'Li', 'O', 'P', 'V')",OTHERS,False
mp-1228512,"{'Ba': 3.0, 'Fe': 4.0, 'P': 8.0, 'Pb': 1.0, 'O': 28.0}","('Ba', 'Fe', 'O', 'P', 'Pb')",OTHERS,False
mp-1210921,"{'Li': 2.0, 'Zn': 8.0, 'Sn': 2.0, 'O': 16.0}","('Li', 'O', 'Sn', 'Zn')",OTHERS,False
mp-1232186,"{'Ce': 8.0, 'Mg': 4.0, 'S': 16.0}","('Ce', 'Mg', 'S')",OTHERS,False
mp-1202615,"{'Ho': 40.0, 'Ir': 8.0, 'Br': 72.0}","('Br', 'Ho', 'Ir')",OTHERS,False
mp-12797,"{'Be': 4.0, 'O': 14.0, 'Si': 4.0, 'Ba': 2.0}","('Ba', 'Be', 'O', 'Si')",OTHERS,False
mp-1220054,"{'Ni': 1.0, 'Rh': 1.0}","('Ni', 'Rh')",OTHERS,False
mp-1239257,"{'Zr': 4.0, 'Cr': 4.0, 'Cu': 4.0, 'S': 16.0}","('Cr', 'Cu', 'S', 'Zr')",OTHERS,False
mp-13903,"{'F': 6.0, 'Zn': 1.0, 'Sn': 1.0}","('F', 'Sn', 'Zn')",OTHERS,False
mp-765733,"{'Mn': 8.0, 'O': 14.0, 'F': 2.0}","('F', 'Mn', 'O')",OTHERS,False
mp-1246065,"{'Ti': 4.0, 'Mo': 4.0, 'N': 12.0}","('Mo', 'N', 'Ti')",OTHERS,False
mp-26035,"{'Li': 18.0, 'O': 58.0, 'P': 16.0, 'Mn': 6.0}","('Li', 'Mn', 'O', 'P')",OTHERS,False
mp-754685,"{'Li': 4.0, 'Cr': 1.0, 'Fe': 1.0, 'W': 2.0, 'O': 12.0}","('Cr', 'Fe', 'Li', 'O', 'W')",OTHERS,False
mp-1200101,"{'Er': 12.0, 'P': 36.0, 'O': 108.0}","('Er', 'O', 'P')",OTHERS,False
mp-23227,"{'Cu': 2.0, 'Br': 2.0}","('Br', 'Cu')",OTHERS,False
mp-1193242,"{'Cs': 8.0, 'Co': 4.0, 'Cl': 16.0}","('Cl', 'Co', 'Cs')",OTHERS,False
mp-1201134,"{'Cu': 4.0, 'C': 8.0, 'O': 24.0}","('C', 'Cu', 'O')",OTHERS,False
mp-864624,"{'Ho': 1.0, 'Zn': 1.0, 'Rh': 2.0}","('Ho', 'Rh', 'Zn')",OTHERS,False
mp-20596,"{'Si': 2.0, 'Ni': 2.0, 'U': 1.0}","('Ni', 'Si', 'U')",OTHERS,False
mp-31352,"{'O': 18.0, 'Se': 6.0, 'Er': 4.0}","('Er', 'O', 'Se')",OTHERS,False
mp-1019524,"{'Ba': 3.0, 'P': 6.0, 'N': 8.0, 'O': 6.0}","('Ba', 'N', 'O', 'P')",OTHERS,False
mp-1221447,"{'Na': 2.0, 'Al': 1.0, 'Ge': 7.0, 'O': 16.0}","('Al', 'Ge', 'Na', 'O')",OTHERS,False
mp-6391,"{'Na': 4.0, 'Zn': 2.0, 'Si': 2.0, 'O': 8.0}","('Na', 'O', 'Si', 'Zn')",OTHERS,False
mp-643586,"{'Cs': 2.0, 'H': 2.0, 'S': 4.0, 'O': 12.0, 'F': 4.0}","('Cs', 'F', 'H', 'O', 'S')",OTHERS,False
mp-715438,"{'Fe': 6.0, 'O': 8.0}","('Fe', 'O')",OTHERS,False
mp-754430,"{'Mn': 7.0, 'O': 12.0}","('Mn', 'O')",OTHERS,False
mp-306,"{'B': 6.0, 'O': 9.0}","('B', 'O')",OTHERS,False
mvc-10016,"{'La': 1.0, 'V': 1.0, 'Cr': 1.0, 'O': 6.0}","('Cr', 'La', 'O', 'V')",OTHERS,False
mp-1183975,"{'Ga': 1.0, 'Ge': 3.0}","('Ga', 'Ge')",OTHERS,False
mp-1180190,"{'Mo': 2.0, 'O': 10.0}","('Mo', 'O')",OTHERS,False
mp-1174068,"{'Li': 6.0, 'Mn': 4.0, 'O': 10.0}","('Li', 'Mn', 'O')",OTHERS,False
mp-756691,"{'Li': 6.0, 'Co': 1.0, 'Ni': 1.0, 'P': 2.0, 'C': 2.0, 'O': 14.0}","('C', 'Co', 'Li', 'Ni', 'O', 'P')",OTHERS,False
mp-764826,"{'Li': 24.0, 'Mn': 12.0, 'F': 60.0}","('F', 'Li', 'Mn')",OTHERS,False
mp-771487,"{'Na': 10.0, 'Mn': 4.0, 'P': 2.0, 'C': 8.0, 'O': 32.0}","('C', 'Mn', 'Na', 'O', 'P')",OTHERS,False
mp-1177323,"{'Li': 4.0, 'Nb': 1.0, 'V': 3.0, 'Cr': 2.0, 'P': 6.0, 'O': 24.0}","('Cr', 'Li', 'Nb', 'O', 'P', 'V')",OTHERS,False
mp-1216790,"{'V': 2.0, 'Mo': 1.0, 'O': 8.0}","('Mo', 'O', 'V')",OTHERS,False
mp-1190399,"{'Na': 4.0, 'Zn': 2.0, 'Ge': 4.0, 'S': 12.0}","('Ge', 'Na', 'S', 'Zn')",OTHERS,False
mp-571347,"{'Pr': 6.0, 'Cu': 2.0, 'Ge': 2.0, 'Se': 14.0}","('Cu', 'Ge', 'Pr', 'Se')",OTHERS,False
mp-753420,"{'Li': 2.0, 'Mn': 4.0, 'P': 4.0, 'O': 16.0}","('Li', 'Mn', 'O', 'P')",OTHERS,False
mp-650442,"{'Tl': 12.0, 'Ag': 4.0, 'Te': 8.0}","('Ag', 'Te', 'Tl')",OTHERS,False
mp-756392,"{'Li': 2.0, 'Cu': 2.0, 'Si': 4.0, 'O': 10.0}","('Cu', 'Li', 'O', 'Si')",OTHERS,False
mp-1104788,"{'Co': 2.0, 'B': 4.0, 'O': 8.0}","('B', 'Co', 'O')",OTHERS,False
mp-722571,"{'Re': 20.0, 'H': 20.0, 'C': 80.0, 'O': 80.0}","('C', 'H', 'O', 'Re')",OTHERS,False
mp-567459,"{'Ag': 4.0, 'C': 8.0, 'N': 12.0}","('Ag', 'C', 'N')",OTHERS,False
mp-753624,"{'Li': 2.0, 'Mn': 2.0, 'P': 2.0, 'O': 8.0}","('Li', 'Mn', 'O', 'P')",OTHERS,False
mp-19997,"{'Ni': 2.0, 'In': 4.0, 'Eu': 2.0}","('Eu', 'In', 'Ni')",OTHERS,False
mp-980944,"{'Yb': 6.0, 'Y': 2.0}","('Y', 'Yb')",OTHERS,False
mp-864655,"{'Pa': 1.0, 'Co': 3.0}","('Co', 'Pa')",OTHERS,False
mp-753040,"{'Li': 1.0, 'Mn': 1.0, 'P': 3.0, 'H': 1.0, 'O': 10.0}","('H', 'Li', 'Mn', 'O', 'P')",OTHERS,False
mp-1239310,"{'Sr': 4.0, 'Y': 2.0, 'Cr': 2.0, 'Cu': 4.0, 'O': 14.0}","('Cr', 'Cu', 'O', 'Sr', 'Y')",OTHERS,False
mp-19237,"{'O': 4.0, 'Sr': 2.0, 'Mo': 1.0}","('Mo', 'O', 'Sr')",OTHERS,False
mp-1174721,"{'Li': 8.0, 'Mn': 2.0, 'Co': 4.0, 'O': 14.0}","('Co', 'Li', 'Mn', 'O')",OTHERS,False
mp-1208970,"{'Sm': 3.0, 'P': 6.0, 'Pd': 20.0}","('P', 'Pd', 'Sm')",OTHERS,False
mp-1196827,"{'K': 16.0, 'Li': 4.0, 'H': 12.0, 'S': 16.0, 'O': 64.0}","('H', 'K', 'Li', 'O', 'S')",OTHERS,False
mp-570286,"{'Bi': 2.0, 'Se': 2.0}","('Bi', 'Se')",OTHERS,False
mp-754127,"{'Li': 2.0, 'Co': 4.0, 'P': 4.0, 'O': 16.0}","('Co', 'Li', 'O', 'P')",OTHERS,False
mp-662575,"{'Eu': 2.0, 'Sr': 4.0, 'Ga': 2.0, 'Cu': 4.0, 'O': 14.0}","('Cu', 'Eu', 'Ga', 'O', 'Sr')",OTHERS,False
mp-14901,"{'O': 48.0, 'Na': 12.0, 'Zn': 12.0, 'As': 12.0}","('As', 'Na', 'O', 'Zn')",OTHERS,False
mp-568989,"{'Li': 56.0, 'Ni': 8.0, 'N': 32.0}","('Li', 'N', 'Ni')",OTHERS,False
mp-760071,"{'Li': 10.0, 'V': 6.0, 'P': 16.0, 'O': 58.0}","('Li', 'O', 'P', 'V')",OTHERS,False
mp-1106340,"{'La': 10.0, 'Mn': 2.0, 'Pb': 6.0}","('La', 'Mn', 'Pb')",OTHERS,False
mp-776447,"{'Li': 4.0, 'Mn': 6.0, 'B': 6.0, 'O': 18.0}","('B', 'Li', 'Mn', 'O')",OTHERS,False
mp-1244597,"{'Mg': 4.0, 'Ta': 4.0, 'Bi': 4.0, 'O': 20.0}","('Bi', 'Mg', 'O', 'Ta')",OTHERS,False
mp-1199645,"{'Mn': 8.0, 'As': 8.0, 'O': 36.0}","('As', 'Mn', 'O')",OTHERS,False
mp-1184926,"{'Ho': 1.0, 'Np': 3.0}","('Ho', 'Np')",OTHERS,False
mp-1200738,"{'Pr': 10.0, 'Sn': 20.0, 'Rh': 8.0}","('Pr', 'Rh', 'Sn')",OTHERS,False
mp-780653,"{'Li': 20.0, 'Mn': 2.0, 'Si': 4.0, 'O': 20.0}","('Li', 'Mn', 'O', 'Si')",OTHERS,False
mp-1073360,"{'Mg': 4.0, 'Si': 8.0}","('Mg', 'Si')",OTHERS,False
mp-863354,"{'Co': 2.0, 'Sn': 2.0, 'P': 4.0, 'O': 16.0}","('Co', 'O', 'P', 'Sn')",OTHERS,False
mp-755639,"{'Li': 4.0, 'Mn': 1.0, 'Fe': 3.0, 'B': 4.0, 'O': 12.0}","('B', 'Fe', 'Li', 'Mn', 'O')",OTHERS,False
mp-1190642,"{'Er': 2.0, 'Fe': 12.0, 'P': 7.0}","('Er', 'Fe', 'P')",OTHERS,False
mp-1200403,"{'Nb': 8.0, 'Ag': 4.0, 'O': 22.0}","('Ag', 'Nb', 'O')",OTHERS,False
mp-30136,"{'O': 14.0, 'Mo': 4.0, 'Hg': 4.0}","('Hg', 'Mo', 'O')",OTHERS,False
mp-1184848,"{'K': 3.0, 'Mo': 1.0}","('K', 'Mo')",OTHERS,False
mp-1210839,"{'Lu': 4.0, 'Be': 4.0, 'Ge': 2.0, 'O': 14.0}","('Be', 'Ge', 'Lu', 'O')",OTHERS,False
mp-1182249,"{'Fe': 24.0, 'O': 32.0}","('Fe', 'O')",OTHERS,False
mp-1103642,"{'Ag': 1.0, 'Mo': 6.0, 'Se': 8.0}","('Ag', 'Mo', 'Se')",OTHERS,False
mp-753891,"{'Zr': 4.0, 'Ti': 4.0, 'O': 16.0}","('O', 'Ti', 'Zr')",OTHERS,False
mp-1195911,"{'Sr': 2.0, 'Yb': 8.0, 'Si': 10.0, 'O': 34.0}","('O', 'Si', 'Sr', 'Yb')",OTHERS,False
mp-560815,"{'Al': 18.0, 'P': 18.0, 'O': 72.0}","('Al', 'O', 'P')",OTHERS,False
mp-26393,"{'Li': 4.0, 'O': 48.0, 'P': 12.0, 'Mn': 16.0}","('Li', 'Mn', 'O', 'P')",OTHERS,False
mp-759338,"{'Mn': 6.0, 'O': 8.0, 'F': 4.0}","('F', 'Mn', 'O')",OTHERS,False
mp-1203491,"{'Ho': 12.0, 'In': 4.0, 'S': 24.0}","('Ho', 'In', 'S')",OTHERS,False
mp-1193222,"{'Li': 3.0, 'Mg': 3.0, 'Al': 3.0, 'F': 18.0}","('Al', 'F', 'Li', 'Mg')",OTHERS,False
mp-571057,"{'K': 4.0, 'Y': 4.0, 'P': 8.0, 'Se': 24.0}","('K', 'P', 'Se', 'Y')",OTHERS,False
mvc-7568,"{'Mg': 4.0, 'Ti': 6.0, 'O': 16.0}","('Mg', 'O', 'Ti')",OTHERS,False
mp-1219110,"{'Sm': 2.0, 'Al': 2.0, 'Zn': 2.0}","('Al', 'Sm', 'Zn')",OTHERS,False
mp-1025324,"{'Si': 1.0, 'Sn': 1.0, 'Pt': 5.0}","('Pt', 'Si', 'Sn')",OTHERS,False
mp-1229121,"{'Ag': 1.0, 'Bi': 1.0, 'Pb': 1.0, 'S': 3.0}","('Ag', 'Bi', 'Pb', 'S')",OTHERS,False
mp-27513,"{'Cl': 10.0, 'Sc': 7.0}","('Cl', 'Sc')",OTHERS,False
mp-16866,"{'N': 6.0, 'O': 22.0, 'K': 2.0, 'Np': 2.0}","('K', 'N', 'Np', 'O')",OTHERS,False
mp-1208837,"{'Sr': 1.0, 'In': 2.0, 'Cu': 2.0}","('Cu', 'In', 'Sr')",OTHERS,False
mp-1212460,"{'H': 2.0, 'I': 2.0, 'N': 4.0}","('H', 'I', 'N')",OTHERS,False
mp-1101509,"{'Li': 1.0, 'Mo': 1.0, 'P': 2.0, 'O': 8.0}","('Li', 'Mo', 'O', 'P')",OTHERS,False
mp-1182212,"{'Ca': 16.0, 'Si': 8.0, 'O': 40.0}","('Ca', 'O', 'Si')",OTHERS,False
mp-505731,"{'O': 32.0, 'P': 8.0, 'Co': 4.0, 'Ba': 8.0}","('Ba', 'Co', 'O', 'P')",OTHERS,False
mvc-13307,"{'Y': 2.0, 'Mg': 1.0, 'Mn': 2.0, 'S': 2.0, 'O': 5.0}","('Mg', 'Mn', 'O', 'S', 'Y')",OTHERS,False
mp-1219174,"{'Sm': 1.0, 'Zn': 2.0, 'Ga': 2.0}","('Ga', 'Sm', 'Zn')",OTHERS,False
mp-19058,"{'Ba': 6.0, 'Co': 2.0, 'Ru': 4.0, 'O': 18.0}","('Ba', 'Co', 'O', 'Ru')",OTHERS,False
mp-1228920,"{'Cs': 2.0, 'Fe': 2.0, 'Cu': 2.0, 'F': 12.0}","('Cs', 'Cu', 'F', 'Fe')",OTHERS,False
